subject,composition,scoreId,fluency,flexibility,originality
13b6898e-08d8-4258-9436-603109d8df69,9301b035-e404-4f98-8b7d-3653e7882f98,d5a26a9d-2567-425e-8c3a-ebe3bf34524f,290,603.3333333333334,59.4375
fa89f4d0-4c74-4285-86b4-530ee3cd71fb,909129b2-1dd1-4d9c-b38f-77180a188ba5,8db45115-eabe-4e08-8871-1b5e7c5119c9,646,1241.375,110.875
b68b1745-f1d3-48b9-96f0-59dd4a20a2db,c6debd6d-c7bd-459f-9018-b99e9cb5f56c,006ca7da-9b29-425d-b8d7-a5ace8d6d4b4,819,1455.3125,121.25
b68b1745-f1d3-48b9-96f0-59dd4a20a2db,ce5495d8-3e4f-4fa3-bf24-86c9b75540c8,c145faab-b4b7-4602-b9cb-1c01314f0194,528,562.75,82.875
fa89f4d0-4c74-4285-86b4-530ee3cd71fb,f87f5572-6b49-4ba0-99c6-01739fbd2978,aa5b04f2-1535-4714-a2a0-14af9ffff63a,594,950.9375,103.0625
e0b27637-b597-4b63-b874-6652a0d071cb,e10d8f80-647f-4917-b09e-1ab1d8069cb5,9a06b5fa-4fc9-4f8c-96e2-c89f6ec60425,768,905.1818181818181,107
fa89f4d0-4c74-4285-86b4-530ee3cd71fb,407a6ef0-4a8a-4264-a1c6-fc8f2dc85e72,48a94aef-380d-48f2-9c0b-c75c33957611,784,627.75,117.5
23dc4752-24fe-47f5-bfaf-ac8d19f97c21,c4d31709-217f-494d-86e7-001afaf170ee,330f1c21-7345-459e-be5a-fd339d88a10f,903,1317.5625,130
fa89f4d0-4c74-4285-86b4-530ee3cd71fb,a1bce32b-3ee5-4d39-aa35-cc08e16eaa6d,282b2d04-2b15-4310-a111-fc2bd6ceb56f,256,1015.5,84.5625
23dc4752-24fe-47f5-bfaf-ac8d19f97c21,f462e95d-ce7d-407e-8b5e-9c64fa7c8122,637bd73e-dd45-44ae-beea-b3b5cd159ffe,304,1430.75,76.625
f0977cbb-5af6-458c-960a-b6337756386b,2eebce6a-e265-4b2e-ac2a-566b8b3450c4,0a6530d3-4017-459d-90cb-ed483a36ec08,256,1267.25,65.5
4d8a8741-8cab-4ce2-9a76-71db93991b86,26cb89b4-5e5c-4212-bfc0-a5b554e5ee79,d9e523ba-2dda-4b06-b249-33f8e2b7b81b,416,957.5,81.3125
f0977cbb-5af6-458c-960a-b6337756386b,bc0bc7de-023b-4ff7-8194-f9c87f7ecb3c,6e7114a5-d2b2-4bd2-b468-fcf2fd2b11cf,192,915.3333333333334,57.75
773b1250-f797-47da-be9e-00972a5fdbb2,f2fbda4b-3d22-46c5-af50-39fef19313fe,e2ea64a2-4d65-4b4a-b326-512e797e8897,603,491.5,85.5
52c9d31e-bcce-4e5a-81fc-664ca4fee4e9,f7b782da-9df9-4ff2-aabd-4d16a4b72f23,2d21bb35-4ed9-44af-8e26-6bfa05309bda,88,603.75,51.25
23dc4752-24fe-47f5-bfaf-ac8d19f97c21,4257663e-31e6-4303-aefe-d82c9e9029c6,15ae50e0-15c7-4e9e-a261-4621bc454b12,798,1242.5625,146.125
9bb94064-b3dd-4098-959d-7fc63f4b3853,8c01a890-3f38-43b1-9e08-49dc43e7d385,21cfbfb5-0428-4223-84aa-317d298ec684,384,200.5,65.25
23dc4752-24fe-47f5-bfaf-ac8d19f97c21,d9cb71cc-68d1-4f16-bcc9-dff10cd7d7a0,86eba749-64d7-45cf-b192-b9cf78e96f23,256,1171.5,87.1875
23dc4752-24fe-47f5-bfaf-ac8d19f97c21,1b9dfd62-1461-4625-bb35-03cd990a2b46,f0b9c564-7a63-4fe6-97c0-81c8425bb75f,352,1505,101.4375
1710e118-5ebf-4e14-9681-4669d5b598a5,7748895e-8487-463a-a0ad-ae74cbda2bd7,a94bc102-662a-4b5e-97a2-d5a381ef7cdb,174,512.2222222222222,50.375
52c9d31e-bcce-4e5a-81fc-664ca4fee4e9,bb7ca151-ed19-4cea-89af-6718ef72a2c1,d745a687-352e-45c6-9c81-8d958cd9b738,71,179,50.5625
4d8a8741-8cab-4ce2-9a76-71db93991b86,eb0ef952-ea3a-4a4b-8b67-49784f5608d5,b650d70a-7952-41ba-8a1d-44cf67ca196c,988,957,150.5
3463853e-20d6-48b9-8225-827c891cd26d,b1f74755-e806-4141-b280-a9472bbd0ff6,2630459e-6066-43f1-897b-56fc44bd3dac,210,165.33333333333334,59.9375
9bb94064-b3dd-4098-959d-7fc63f4b3853,b33b5764-ee89-46fd-8b4c-11b20f1083dd,92b16648-526a-4210-9aac-d0f823c003ab,244,587.75,56.9375
ee8a41aa-fe2f-4581-94f6-431610b96d70,7487b396-6fcf-4507-beaf-a91740402045,8d9bb43c-25ed-4c6e-ae27-78f79c7a8311,256,1092.5,63.75
9bb94064-b3dd-4098-959d-7fc63f4b3853,7137678e-99e5-4acf-bbaf-5c5e1a6c6f17,8f43a35b-63a4-42a1-9d20-cdb699bd0faf,270,628,62.4375
ff85e6df-2de3-4595-b001-a80df9c1c14f,54a6602f-5a56-468b-946f-ad09c77f902a,12cfbba8-ea90-484e-ab04-6f3d92033446,222,229.75,50.1875
ee8a41aa-fe2f-4581-94f6-431610b96d70,4cfe7889-0daa-4a60-aac4-f696226a2c6e,c0a2ddc4-0673-4f72-bdf4-d043ba3930fd,470,510,79.6875
