subject,composition,scoreId,fluency,flexibility,originality
e5be9373-e390-4b69-a259-c46435191dbf,ac60c328-2c21-4e95-9419-c23c7e150b5c,d55f2bcc-0717-4cf9-98e0-a7f111abbc4b,138,230,51.3125
28901eff-3c84-4e29-aa90-e859f5a3fe5c,8e9be8b6-e86c-4eef-a683-697af726835f,27ac888a-193c-43f7-bb34-3d7d4a37557b,256,1058.5,62.875
26a1572b-3437-4498-b299-4e99bb479738,9d20ffe6-fae1-4e7c-94ee-3a87058b30c2,5147bc0d-8248-4daa-b08b-fbb95c206d70,358,712.5454545454545,63.1875
8ac42258-999b-4b0d-914b-cb1fcedd1edc,1a1a94b2-ccda-4ad4-bb2d-3d7ee8413790,e76d1547-999b-46ab-9881-869a89102d6e,256,1075.75,65.875
0c554d1c-9c84-4463-870b-3310d0fcbda9,4342d89c-417a-4734-8902-5fbe8524e82a,e30b71ea-9064-4254-9b24-e7445b4ce848,160,678.4,52.5
45668a4a-6149-4fd5-9155-b1687bdc71b3,6b117d8f-4c68-4d30-8444-d83ea6704d95,581e7582-c7b5-43f7-a57c-dc59f78d54f3,256,1198.75,63.6875
c10f1fbf-98f7-41ae-8ad6-6da9bbd4fed8,c90ccf1f-6a99-42a5-873b-6de7fc967a0e,c43ea74d-cef5-4857-b935-7c0207cdf426,116,694,48.25
6e1aa7ab-b074-4c63-a839-75f6886177bc,873d1d73-bdec-4359-9ec1-1dfb240317fd,b342b2a2-8cd4-45bf-9c0c-0acdf683487b,280,684.8,60.5625
8ac42258-999b-4b0d-914b-cb1fcedd1edc,1ad80846-44d2-4c80-991a-ecf408fbf70e,20634994-0a9c-4a7c-89d9-c072f54e96e6,160,702.8,53.6875
c10f1fbf-98f7-41ae-8ad6-6da9bbd4fed8,183da364-dbaa-444e-9743-076ceefc25f6,1b215417-d4da-4f9f-b3c9-e2bf70fe5ccc,128,543,49.375
8ac42258-999b-4b0d-914b-cb1fcedd1edc,82655966-5403-430c-a08d-2f7888887f61,fbc93002-8c56-4f0e-bbbe-7323530c6dec,136,540,53.8125
6e1aa7ab-b074-4c63-a839-75f6886177bc,9f5c520d-0ebf-4420-ad95-cfb59ceb0a74,1d3fe0ea-4909-4726-93b0-a2b346de16db,192,627.5,55.75
6e1aa7ab-b074-4c63-a839-75f6886177bc,18fccbae-3f3d-4e40-90ac-9095bcec23d3,26ff110e-238b-4f9c-a722-b9079734bd3f,256,531.75,69.4375
8dead86f-bfa8-41f5-bc5a-b8ce4a057cb7,da828923-203e-42d9-bc9f-2ef480a054b2,aa9990f1-7b27-459c-80eb-0e7004a71840,311,321.125,59
969467a6-dbdd-4feb-9e2b-a7dabb35379d,bdb6ee49-415e-49e6-8b1d-3484cb32e294,a29691fc-edb6-41bb-9131-d1e2dcf1f9d8,256,399.25,60.5625
2b9e8baf-d8c9-4c4d-9a2c-e2c4b7baccf8,d4ab19ad-0333-4ce5-9c00-38b31d3f35ff,9b84779c-7250-44df-88bb-74bc7133c05b,232,886.9333333333333,62.5625
d11e541e-4193-4276-9926-59d77624ba28,b7ce5ab9-ac68-46e0-8022-3cfe5554559e,46d4ad37-ac28-4b9d-af8f-b7963d9c998a,168,713.8181818181819,51
